,race,age,case_type,offense,prior_felony,prior_misdemeanor,prior_criminal_traffic,recidivism
254,African American,18-29,Misdemeanor,Other,None,None,None,no
255,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,1-5,6-10,yes
256,Other,40-49,Felony,Other,None,None,None,no
257,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,yes
258,Other,18-29,Misdemeanor,Resisting Officer,None,1-5,None,yes
259,Caucasian,18-29,Misdemeanor,Battery,None,1-5,None,no
260,Other,30-39,Criminal Traffic,OAR/OAS,6-10,1-5,1-5,yes
261,Caucasian,40-49,Felony,Other,None,1-5,None,yes
262,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,None,None,yes
263,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
264,Caucasian,40-49,Misdemeanor,Bail Jumping,None,6-10,1-5,no
265,Caucasian,Older than 60,Felony,Other,None,None,None,no
266,African American,30-39,Misdemeanor,Disorderly Conduct,1-5,1-5,None,yes
267,African American,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,yes
268,Caucasian,Younger than 18,Criminal Traffic,OAR/OAS,None,None,None,no
269,Other,30-39,Criminal Traffic,Other,None,None,None,yes
270,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,no
271,Caucasian,40-49,Misdemeanor,Bail Jumping,1-5,6-10,1-5,yes
273,Caucasian,Younger than 18,Felony,Other,1-5,None,None,yes
274,Caucasian,Younger than 18,Felony,Battery,6-10,1-5,None,yes
275,African American,30-39,Criminal Traffic,OAR/OAS,1-5,1-5,None,yes
276,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,None,None,no
277,Caucasian,18-29,Misdemeanor,Resisting Officer,None,None,None,no
278,African American,18-29,Misdemeanor,Resisting Officer,None,1-5,None,yes
279,Caucasian,18-29,Misdemeanor,Bail Jumping,None,1-5,1-5,no
280,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,no
281,African American,Younger than 18,Misdemeanor,Disorderly Conduct,None,None,None,yes
282,African American,18-29,Felony,Other,1-5,None,None,no
283,Caucasian,Younger than 18,Misdemeanor,Other,None,1-5,None,yes
284,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
285,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,no
286,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,yes
287,Caucasian,18-29,Felony,Bail Jumping,1-5,1-5,None,yes
289,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,yes
290,Other,18-29,Misdemeanor,Other,None,None,None,no
291,African American,18-29,Criminal Traffic,OAR/OAS,None,None,None,no
292,African American,18-29,Felony,Other,1-5,1-5,None,no
293,African American,30-39,Misdemeanor,Disorderly Conduct,None,1-5,None,yes
294,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
295,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,None,no
296,Caucasian,30-39,Misdemeanor,Disorderly Conduct,1-5,None,None,no
297,Caucasian,18-29,Felony,Burglary,1-5,None,None,yes
298,Caucasian,18-29,Felony,Bail Jumping,1-5,1-5,None,no
299,Caucasian,18-29,Felony,Bail Jumping,1-5,None,None,no
300,Caucasian,18-29,Misdemeanor,Resisting Officer,1-5,None,None,no
301,African American,40-49,Felony,Other,1-5,None,None,no
303,Caucasian,40-49,Misdemeanor,Operating While Intoxicated,None,1-5,None,no
304,Caucasian,50-59,Misdemeanor,Other,None,1-5,None,yes
305,Caucasian,30-39,Felony,Other,1-5,1-5,None,no
306,Other,30-39,Criminal Traffic,Operating While Intoxicated,None,1-5,None,no
307,Other,18-29,Misdemeanor,Battery,1-5,None,None,no
308,African American,18-29,Misdemeanor,Resisting Officer,None,None,None,no
309,African American,18-29,Criminal Traffic,OAR/OAS,None,None,6-10,yes
310,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
311,Other,30-39,Criminal Traffic,Other,None,None,None,no
312,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
313,African American,18-29,Criminal Traffic,Operating While Intoxicated,None,1-5,None,no
314,Caucasian,Younger than 18,Felony,Other,None,None,None,no
315,African American,30-39,Felony,Other,1-5,None,None,no
316,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,1-5,yes
317,Caucasian,18-29,Felony,Bail Jumping,1-5,1-5,1-5,no
318,Caucasian,50-59,Misdemeanor,Bail Jumping,1-5,6-10,1-5,no
319,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,yes
320,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,None,no
321,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,None,None,yes
322,African American,Younger than 18,Misdemeanor,Other,None,None,None,no
323,Caucasian,40-49,Felony,Disorderly Conduct,None,1-5,1-5,no
324,Caucasian,40-49,Misdemeanor,Resisting Officer,1-5,None,1-5,no
326,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,1-5,None,no
327,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,1-5,More than 10,yes
328,Caucasian,30-39,Misdemeanor,Operating While Intoxicated,None,1-5,None,no
329,African American,18-29,Felony,Other,None,None,None,no
330,African American,18-29,Felony,Other,None,None,None,no
331,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,no
333,Caucasian,40-49,Misdemeanor,Other,None,None,None,no
334,African American,18-29,Misdemeanor,Other,1-5,None,None,no
335,Caucasian,18-29,Misdemeanor,Other,None,None,1-5,yes
336,Caucasian,18-29,Felony,Other,1-5,1-5,None,yes
337,Other,18-29,Misdemeanor,Battery,None,None,None,no
338,Other,18-29,Misdemeanor,Resisting Officer,None,None,None,no
339,Caucasian,18-29,Misdemeanor,Disorderly Conduct,1-5,1-5,None,yes
340,Caucasian,18-29,Felony,Bail Jumping,1-5,6-10,1-5,yes
341,Caucasian,30-39,Felony,Other,None,1-5,None,no
342,Other,30-39,Criminal Traffic,OAR/OAS,None,None,6-10,yes
343,Caucasian,18-29,Felony,Bail Jumping,1-5,1-5,None,yes
344,African American,18-29,Felony,Other,None,None,None,no
345,Other,18-29,Misdemeanor,Battery,None,None,None,no
346,Other,18-29,Felony,Other,None,1-5,None,no
347,Caucasian,18-29,Misdemeanor,Resisting Officer,None,1-5,1-5,no
348,African American,30-39,Misdemeanor,Bail Jumping,None,1-5,None,yes
349,Caucasian,Younger than 18,Misdemeanor,Other,None,None,None,yes
350,Caucasian,Younger than 18,Misdemeanor,Other,None,1-5,None,no
351,Caucasian,18-29,Misdemeanor,Resisting Officer,None,1-5,1-5,no
353,Caucasian,18-29,Felony,Resisting Officer,None,None,None,no
354,Other,40-49,Felony,Other,None,1-5,None,no
355,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
356,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,1-5,1-5,None,yes
357,Caucasian,18-29,Criminal Traffic,OAR/OAS,6-10,6-10,1-5,no
358,African American,30-39,Felony,Other,None,None,1-5,yes
360,Caucasian,30-39,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,no
361,African American,30-39,Misdemeanor,Battery,None,None,None,no
363,African American,18-29,Misdemeanor,Other,1-5,1-5,1-5,no
364,African American,50-59,Misdemeanor,Disorderly Conduct,1-5,1-5,1-5,no
365,African American,18-29,Felony,Burglary,1-5,None,None,yes
366,Caucasian,30-39,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,no
367,Caucasian,18-29,Misdemeanor,Bail Jumping,None,1-5,1-5,no
368,African American,18-29,Misdemeanor,Resisting Officer,1-5,1-5,None,yes
369,Caucasian,18-29,Misdemeanor,Bail Jumping,None,None,None,no
370,African American,18-29,Misdemeanor,Battery,1-5,None,1-5,yes
371,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,None,None,no
372,Caucasian,18-29,Felony,Other,6-10,1-5,1-5,no
373,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,1-5,None,None,no
374,Caucasian,18-29,Misdemeanor,Battery,None,1-5,None,no
375,Caucasian,30-39,Felony,Other,1-5,1-5,1-5,no
376,Other,18-29,Misdemeanor,Other,None,1-5,None,no
377,African American,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,None,yes
378,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,1-5,None,no
379,Caucasian,50-59,Felony,Other,None,None,None,yes
380,Caucasian,40-49,Felony,Other,1-5,None,None,no
382,African American,18-29,Felony,Other,None,None,None,no
384,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,None,no
385,African American,18-29,Felony,Other,None,1-5,None,no
386,Caucasian,30-39,Felony,Other,1-5,1-5,1-5,no
387,Other,40-49,Misdemeanor,Other,1-5,1-5,1-5,no
388,Caucasian,18-29,Felony,Other,1-5,1-5,None,yes
389,Caucasian,50-59,Misdemeanor,Bail Jumping,1-5,6-10,None,yes
390,Caucasian,18-29,Misdemeanor,Other,None,None,None,yes
391,Caucasian,30-39,Misdemeanor,Resisting Officer,None,1-5,None,yes
392,Other,30-39,Criminal Traffic,Other,None,None,None,yes
393,Caucasian,50-59,Misdemeanor,Disorderly Conduct,None,1-5,None,yes
395,Caucasian,30-39,Misdemeanor,Other,None,1-5,None,yes
396,Caucasian,50-59,Misdemeanor,Other,None,None,None,no
397,Caucasian,30-39,Misdemeanor,Disorderly Conduct,1-5,1-5,None,no
398,African American,Younger than 18,Felony,Other,None,None,None,yes
399,Caucasian,30-39,Misdemeanor,Disorderly Conduct,None,None,None,no
400,African American,18-29,Felony,Other,1-5,1-5,None,no
401,Caucasian,40-49,Misdemeanor,Other,None,None,None,no
402,Caucasian,30-39,Felony,Other,1-5,None,None,no
403,Other,18-29,Misdemeanor,Other,None,1-5,1-5,no
404,Caucasian,40-49,Felony,Other,1-5,None,None,no
405,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,yes
406,Caucasian,30-39,Misdemeanor,Resisting Officer,None,None,None,no
408,African American,30-39,Misdemeanor,Battery,1-5,None,None,no
409,Caucasian,18-29,Misdemeanor,Other,None,None,None,yes
410,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,1-5,None,None,no
411,Caucasian,40-49,Misdemeanor,Resisting Officer,1-5,1-5,None,no
412,African American,18-29,Misdemeanor,Resisting Officer,None,1-5,None,no
413,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
414,Caucasian,50-59,Felony,Other,None,None,None,yes
415,Caucasian,40-49,Misdemeanor,Other,None,None,None,no
416,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
417,Caucasian,18-29,Felony,Other,1-5,None,1-5,no
418,Caucasian,40-49,Misdemeanor,Disorderly Conduct,None,1-5,None,yes
419,African American,40-49,Criminal Traffic,OAR/OAS,None,None,1-5,yes
420,Caucasian,30-39,Misdemeanor,Other,None,None,1-5,yes
421,African American,30-39,Felony,Other,None,6-10,None,yes
422,Caucasian,30-39,Misdemeanor,Resisting Officer,1-5,6-10,None,no
423,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,yes
424,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,1-5,1-5,None,no
425,Other,30-39,Felony,Other,1-5,1-5,1-5,no
426,Caucasian,18-29,Felony,Burglary,None,None,None,no
427,Caucasian,40-49,Misdemeanor,Disorderly Conduct,1-5,None,None,no
428,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
429,African American,18-29,Misdemeanor,Other,None,None,None,no
430,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,yes
